player_id,player_name,batting_strike_rate,bowling_economy,pitch_score,floor,ceil,batting_first_fantasy_points,chasing_fantasy_points,relative_points,matchup_rank,six_match_predictions,risk, ai_alerts
253802,Virat Kohli,135.5,34,7.8,50,120,80,90,75,1,"[80,85,90,95,100,105]",45,"No recent alerts."
123456,AB de Villiers,140.0,98,7.5,55,125,82,88,78,2,"[78,82,85,88,90,95]",59,"Minor injury reported."
789012,MS Dhoni,130.0,54,7.2,48,115,75,85,70,3,"[75,78,80,82,85,88]",21,"Retirement considerations."
456789,Rohit Sharma,145.0,67,7.9,52,128,85,92,80,4,"[82,85,88,90,95,100]",45,"No recent alerts."
321654,Chris Gayle,150.0,09,8.1,60,140,90,100,85,5,"[85,88,90,95,100,110]",89,"Performance concerns raised."
654321,KL Rahul,138.0,23,7.6,53,122,78,87,74,6,"[78,80,85,88,92,95]",32,"Fitness level monitored."
789654,David Warner,142.0,45,7.8,56,130,82,89,77,7,"[82,85,88,90,93,96]",54,"No recent alerts."
456123,Kane Williamson,125.0,13,7.1,45,110,72,80,68,8,"[70,75,78,80,85,88]",20,"Minor shoulder strain."
987654,Andre Russell,155.0,45,8.5,65,150,95,105,90,9,"[90,95,100,105,110,115]",64,"AI flagged stamina drop."
123789,Steve Smith,128.0,98,7.3,47,118,74,83,69,10,"[72,75,78,80,85,90]",34,"No recent alerts."
852963,Shikhar Dhawan,132.5,21,7.4,50,120,76,85,72,11,"[75,78,80,85,88,90]",65,"Performance improvement observed."
741258,Jos Buttler,146.0,23,8.0,58,135,88,94,82,12,"[85,88,90,95,98,100]",29,"No recent alerts."
369258,Babar Azam,136.0,48,7.7,52,125,80,88,76,13,"[80,82,85,88,90,95]",67,"No recent alerts."
147258,Glenn Maxwell,148.0,7,8.3,60,140,88,95,83,14,"[88,90,95,100,105,110]",25,"High-performance mode activated."
963852,Faf du Plessis,133.0,32,7.5,51,122,77,86,73,15,"[78,80,85,88,90,92]",56,"No recent alerts."
